Provincia,Departamento,Emiliano Figueroa,José Santos Salas,Votos Nulos/Blancos,Total de Votantes
TARAPACA,,3122,2318,16,5456
ANTOFAGASTA,,5177,4185,88,9450
ATACAMA,,2443,234,28,2705
COQUIMBO,,7362,1971,35,9368
ACONCAGUA,,5201,1792,53,7046
VALPARAISO,,17465,12871,19,30355
CURICO,,5112,765,321,5998
TALCA,,8207,1420,12,9639
MAULE,,6454,401,1,6856
CONCEPCION,,11346,6792,36,18174
BIO BIO,,8947,866,4,9817
MALLECO,,6710,1211,19,7940
CURACAUTIN,,7860,2581,8,10445
LLANQUIHUE,,7583,1829,16,9428
TOTAL PAÍS,,186187,74091,617,260895
